property_type,price (EGP)
Apartment,11401572.905639198
Branded Apartment,32324061.07142857
Branded Studio,
Branded Villa,76000000.0
Building,235096826.66666666
Cabin,17449340.21818182
Chalet,13513221.542119056
Clinic,12641043.364678899
Duplex,17095708.3081307
Family House,22501039.153846152
Loft,19318341.029411763
Luxury Apartment,26925000.0
Office,20133545.2829602
One-story Villa,52988821.85
Penthouse,16829685.38224299
Pharmacy,48466261.0
Retail,32115807.157894738
Serviced Apartment,23005897.73965517
Serviced Duplex,52043075.0
Serviced Studio,8400729.35
Serviced chalet,21292665.791666668
Studio,5567181.330136986
Townhouse,22339454.422401685
Twinhouse,28734834.87689615
Ultra Luxury Apartment,60783333.333333336
Ultra Luxury Villa,236475000.0
Villa,46148141.482471265
,
